date,store_number,store_name,city,state,zip_code,item_number,category_name,vendor_name,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars
2012-01-31,2616,Hy-Vee Food and Drug / Clinton,CLINTON,IA,52732,5326,SCOTCH WHISKIES,Diageo Americas,Johnnie Walker Black,12,750,20.0,29.99,2,59.98
2012-01-31,4247,Fareway Stores #879 / Belmond,BELMOND,IA,50421,4866,SCOTCH WHISKIES,"Bacardi U.S.A., Inc.",Dewars White Label Scotch,12,750,13.73,20.59,2,41.18
2012-01-31,3488,Bender's Foods,BELLEVUE,IA,52031,5326,SCOTCH WHISKIES,Diageo Americas,Johnnie Walker Black,12,750,20.0,29.99,2,59.98
2012-01-31,3732,North Scott Foods,ELDRIDGE,IA,52748,5289,SCOTCH WHISKIES,Diageo Americas,J & B Rare Scotch,12,1000,14.98,22.47,1,22.47
2012-01-31,2534,Hy-Vee Drugtown / Urbandale,URBANDALE,IA,50322,5290,SCOTCH WHISKIES,Diageo Americas,J & B Rare Scotch,12,750,12.24,18.36,3,55.08
2012-01-31,2191,Keokuk Spirits,KEOKUK,IA,52632,5327,SCOTCH WHISKIES,Diageo Americas,Johnnie Walker Black,12,1000,26.5,39.74,2,79.48
2012-01-31,2506,Hy-Vee #1044 / Burlington,BURLINGTON,IA,52601,5327,SCOTCH WHISKIES,Diageo Americas,Johnnie Walker Black,12,1000,26.5,39.74,2,79.48
2012-01-31,4489,Casey's General Store #2763 / Cedar,CEDAR RAPIDS,IA,52405,86886,WHISKEY LIQUEUR,Brown-Forman Corporation,Southern Comfort,12,750,9.36,14.04,12,168.48
2012-01-31,4156,Fareway Stores #412 / Oelwein,OELWEIN,IA,50662,86886,WHISKEY LIQUEUR,Brown-Forman Corporation,Southern Comfort,12,750,9.36,14.04,12,168.48
2012-01-31,3889,Wal-Mart 1005 / Waverly,WAVERLY,IA,50677,86886,WHISKEY LIQUEUR,Brown-Forman Corporation,Southern Comfort,12,750,9.36,14.04,12,168.48
2012-01-31,3443,Super Saver Iv,COUNCIL BLUFFS,IA,51503,86916,WHISKEY LIQUEUR,Brown-Forman Corporation,Southern Comfort 100 Prf,12,750,11.65,17.47,12,209.64
2012-01-31,2614,Hy-Vee #3 Food and Drugstore,DAVENPORT,IA,52807,67264,WHISKEY LIQUEUR,Diageo Americas,Yukon Jack Canadian Liqueur,24,375,4.69,7.03,3,21.09
2012-01-31,2534,Hy-Vee Drugtown / Urbandale,URBANDALE,IA,50322,86886,WHISKEY LIQUEUR,Brown-Forman Corporation,Southern Comfort,12,750,9.36,14.04,4,56.16
2012-01-31,3549,Quicker Liquor Store,FORT MADISON,IA,52627,86887,WHISKEY LIQUEUR,Brown-Forman Corporation,Southern Comfort,12,1000,11.34,17.01,12,204.12
2012-01-31,2651,Hy-Vee / Waverly,WAVERLY,IA,50677,86887,WHISKEY LIQUEUR,Brown-Forman Corporation,Southern Comfort,12,1000,11.34,17.01,24,408.24
2012-01-31,3911,"Burg Spirits, Llc.",WILLIAMSBURG,IA,52361,86888,WHISKEY LIQUEUR,Brown-Forman Corporation,Southern Comfort PET,6,1750,18.14,27.21,2,54.42
2012-01-31,3994,Great Spirits Wine & Liquor Co.,ARNOLDS PARK,IA,51331,77089,WHISKEY LIQUEUR,Brown-Forman Corporation,Southern Comfort Lime,12,750,9.36,14.04,2,28.08
2012-01-31,2532,Hy-Vee Food Store #2 / Des Moines,DES MOINES,IA,50317,67266,WHISKEY LIQUEUR,Diageo Americas,Yukon Jack Canadian Liqueur,12,750,8.54,12.81,2,25.62
2012-01-31,3963,Tobacco Hut #14 / Council Bluffs,COUNCIL BLUFFS,IA,51501,25603,BLENDED WHISKIES,Diageo Americas,Seagrams 7 Crown Bl Whiskey,48,200,1.85,2.77,1,2.77
2012-01-31,4490,Casey's General Store #2766 / Cedar,CEDAR RAPIDS,IA,52404,25606,BLENDED WHISKIES,Diageo Americas,Seagrams 7 Crown Bl Whiskey,12,750,6.14,9.21,12,110.52
2012-01-31,4366,Kum & Go #137 / Tiffin,TIFFIN,IA,52340,25606,BLENDED WHISKIES,Diageo Americas,Seagrams 7 Crown Bl Whiskey,12,750,6.14,9.21,12,110.52
2012-01-31,3744,Payless Foods / Dyersville,DYERSVILLE,IA,52040,27554,BLENDED WHISKIES,Diageo Americas,Seagrams Seven Crown Dark Honey,12,750,8.17,12.26,12,147.12
2012-01-31,3562,Wal-Mart 0797 / W Burlington,WEST BURLINGTON,IA,52655,25606,BLENDED WHISKIES,Diageo Americas,Seagrams 7 Crown Bl Whiskey,12,750,6.14,9.21,12,110.52
2012-01-31,2641,Hy-Vee Drugstore / Council Bluffs,COUNCIL BLUFFS,IA,51501,24706,BLENDED WHISKIES,Mccormick Distilling Company,Mccormick Blend Whiskey,12,750,3.36,5.03,12,60.36
2012-01-31,2573,Hy-Vee Food Store / Muscatine,MUSCATINE,IA,52761,25606,BLENDED WHISKIES,Diageo Americas,Seagrams 7 Crown Bl Whiskey,12,750,6.14,9.21,12,110.52
2012-01-31,2954,Dahl's / Ingersoll,DES MOINES,IA,50300,23826,BLENDED WHISKIES,Laird And Company,Five Star,12,750,3.35,5.02,12,60.24
2012-01-31,2616,Hy-Vee Food and Drug / Clinton,CLINTON,IA,52732,27554,BLENDED WHISKIES,Diageo Americas,Seagrams Seven Crown Dark Honey,12,750,8.17,12.26,12,147.12
2012-01-31,4040,No Frills Supermarkets / Council Blu,COUNCIL BLUFFS,IA,51503,24156,BLENDED WHISKIES,Luxco-St Louis,Hawkeye Blend Whiskey,12,750,3.35,5.03,12,60.36
2012-01-31,2614,Hy-Vee #3 Food and Drugstore,DAVENPORT,IA,52807,24454,BLENDED WHISKIES,Jim Beam Brands,Kessler Blend Whiskey,24,375,3.09,4.64,12,55.68
2012-01-31,4229,Fareway Stores #790 / Harlan,HARLAN,IA,51537,23828,BLENDED WHISKIES,Laird And Company,Five Star,6,1750,7.36,11.04,6,66.24
2012-01-31,3563,Wal-Mart 0559 / Muscatine,MUSCATINE,IA,52761,24158,BLENDED WHISKIES,Luxco-St Louis,Hawkeye Blend Whiskey,6,1750,7.38,11.07,6,66.42
2012-01-31,3934,Wal-Mart 1509 / Maquoketa,MAQUOKETA,IA,52060,23828,BLENDED WHISKIES,Laird And Company,Five Star,6,1750,7.36,11.04,6,66.24
2012-01-31,2613,Hy-Vee Food Store #1 / Council Bluff,COUNCIL BLUFFS,IA,51501,24158,BLENDED WHISKIES,Luxco-St Louis,Hawkeye Blend Whiskey,6,1750,7.38,11.07,6,66.42
2012-01-31,3774,Eagle Country Market / Dubuque,DUBUQUE,IA,52001,24158,BLENDED WHISKIES,Luxco-St Louis,Hawkeye Blend Whiskey,6,1750,7.38,11.07,12,132.84
2012-01-31,3162,Nash Finch / Wholesale Food,MUSCATINE,IA,52761,23828,BLENDED WHISKIES,Laird And Company,Five Star,6,1750,7.36,11.04,12,132.48
2012-01-31,2603,Hy-Vee Wine and Spirits / Bettendorf,BETTENDORF,IA,52722,23828,BLENDED WHISKIES,Laird And Company,Five Star,6,1750,7.36,11.04,12,132.48
2012-01-31,2619,Hy-Vee Wine and Spirits / WDM,WEST DES MOINES,IA,50266,25604,BLENDED WHISKIES,Diageo Americas,Seagrams 7 Crown Bl Whiskey,24,375,3.34,5.0,3,15.0
2012-01-31,3606,Scotty's Liquor Store,GRUNDY CENTER,IA,50638,23277,BLENDED WHISKIES,Luxco-St Louis,Calvert Extra Bl Whiskey,12,1000,6.88,10.31,12,123.72
2012-01-31,2625,Hy-Vee Wine and Spirits #2,DAVENPORT,IA,52804,24157,BLENDED WHISKIES,Luxco-St Louis,Hawkeye Blend Whiskey,12,1000,4.29,6.44,12,77.28
2012-01-31,4167,"Iowa Street Market, Inc.",DUBUQUE,IA,52001,22787,BLENDED WHISKIES,Jim Beam Brands,Beam's 8 Star Bl Whiskey,12,1000,4.19,6.29,12,75.48
2012-01-31,4181,Puff N Snuff,DUBUQUE,IA,52001,24454,BLENDED WHISKIES,Jim Beam Brands,Kessler Blend Whiskey,24,375,3.09,4.64,1,4.64
2012-01-31,2614,Hy-Vee #3 Food and Drugstore,DAVENPORT,IA,52807,27562,BLENDED WHISKIES,Diageo Americas,Seagrams Seven Crown Stone Cherry,12,750,8.17,12.26,1,12.26
2012-01-31,3697,Oky Doky #2 / Dubuque,DUBUQUE,IA,52004,22784,BLENDED WHISKIES,Jim Beam Brands,Beam's 8 Star Bl Whiskey,24,375,1.9,2.85,2,5.7
2012-01-31,3907,Smokin' Joe's #16 Tobacco and Liquor,MUSCATINE,IA,52761,25606,BLENDED WHISKIES,Diageo Americas,Seagrams 7 Crown Bl Whiskey,12,750,6.14,9.21,1,9.21
2012-01-31,3952,Lot-A-Spirits,BETTENDORF,IA,52722,27562,BLENDED WHISKIES,Diageo Americas,Seagrams Seven Crown Stone Cherry,12,750,8.17,12.26,1,12.26
2012-01-31,2487,Anamosa Family Foods,ANAMOSA,IA,52205,27512,BLENDED WHISKIES,"Cedar Ridge Vineyards,LLC",Griff's Cowboy Whiskey,6,750,15.55,23.32,1,23.32
2012-01-31,4616,C's Spencer Liquor,SPENCER,IA,51301,27562,BLENDED WHISKIES,Diageo Americas,Seagrams Seven Crown Stone Cherry,12,750,8.17,12.26,2,24.52
2012-01-31,4167,"Iowa Street Market, Inc.",DUBUQUE,IA,52001,24451,BLENDED WHISKIES,Jim Beam Brands,Kessler Blend Whiskey Mini,12,500,5.23,7.84,1,7.84
2012-01-31,3482,Kick The Can,CARROLL,IA,51401,22787,BLENDED WHISKIES,Jim Beam Brands,Beam's 8 Star Bl Whiskey,12,1000,4.19,6.29,1,6.29
2012-01-31,2614,Hy-Vee #3 Food and Drugstore,DAVENPORT,IA,52807,25601,BLENDED WHISKIES,Diageo Americas,Seagrams 7 Crown Bl Whiskey Mini,12,500,6.17,9.25,2,18.5
2012-01-31,4106,Hartig Drug Co. / JFK Rd / Dubuque,DUBUQUE,IA,52002,25601,BLENDED WHISKIES,Diageo Americas,Seagrams 7 Crown Bl Whiskey Mini,12,500,6.17,9.25,2,18.5
2012-01-31,2629,Hy-Vee Food Store #2 / Council Bluff,COUNCIL BLUFFS,IA,51503,22784,BLENDED WHISKIES,Jim Beam Brands,Beam's 8 Star Bl Whiskey,24,375,1.9,2.85,6,17.1
2012-01-31,2367,Spencer's Grocery,SHENANDOAH,IA,51601,27474,BLENDED WHISKIES,Western Spirits Beverage Co. LLC,Bird Dog Blackberry Whiskey,6,750,10.42,15.63,3,46.89
2012-01-31,4073,"Uptown Liquor, Llc",FOREST CITY,IA,50436,27562,BLENDED WHISKIES,Diageo Americas,Seagrams Seven Crown Stone Cherry,12,750,8.17,12.26,3,36.78
2012-01-31,4181,Puff N Snuff,DUBUQUE,IA,52001,25606,BLENDED WHISKIES,Diageo Americas,Seagrams 7 Crown Bl Whiskey,12,750,6.14,9.21,3,27.63
2012-01-31,2613,Hy-Vee Food Store #1 / Council Bluff,COUNCIL BLUFFS,IA,51501,32233,AMERICAN DRY GINS,Pernod Ricard USA/Austin Nichols,Seagrams Extra Dry Gin,48,200,2.04,3.06,4,12.24
2012-01-31,3774,Eagle Country Market / Dubuque,DUBUQUE,IA,52001,31656,AMERICAN DRY GINS,Luxco-St Louis,Paramount Gin,12,750,3.39,5.09,12,61.08
2012-01-31,2624,Hy-Vee #2 / Dubuque,DUBUQUE,IA,52002,31666,AMERICAN DRY GINS,Luxco-St Louis,Paramount Gin Traveler,12,750,3.39,5.09,12,61.08
2012-01-31,4553,Casey's General Store #1892 / Sheffi,SHEFFIELD,IA,50475,32236,AMERICAN DRY GINS,Pernod Ricard USA/Austin Nichols,Seagrams Extra Dry Gin,12,750,5.9,8.85,12,106.2
2012-01-31,2603,Hy-Vee Wine and Spirits / Bettendorf,BETTENDORF,IA,52722,31990,AMERICAN DRY GINS,Mississippi River Distilling Co.,River Rose Gin,6,750,16.17,24.25,6,145.5
2012-01-31,2954,Dahl's / Ingersoll,DES MOINES,IA,50300,31990,AMERICAN DRY GINS,Mississippi River Distilling Co.,River Rose Gin,6,750,16.17,24.25,6,145.5
2012-01-31,2959,Dahl's / Merle Hay,DES MOINES,IA,50310,30528,AMERICAN DRY GINS,Luxco-St Louis,Hawkeye Gin,6,1750,7.0,10.5,6,63.0
2012-01-31,3778,Family Pantry,DES MOINES,IA,50310,29728,AMERICAN DRY GINS,Luxco-St Louis,Calvert Gin,6,1750,6.77,10.15,6,60.9
2012-01-31,3495,Great Pastimes,MONTICELLO,IA,52310,29998,AMERICAN DRY GINS,Laird And Company,Five O'clock Gin,6,1750,7.06,10.58,3,31.74
2012-01-31,2587,Hy-Vee Food Store / Johnston,JOHNSTON,IA,50131,31473,AMERICAN DRY GINS,E AND J GALLO WINERY,New Amsterdam Gin,6,1750,13.31,19.97,3,59.91
2012-01-31,2506,Hy-Vee #1044 / Burlington,BURLINGTON,IA,52601,29997,AMERICAN DRY GINS,Laird And Company,Five O'clock Gin,12,1000,4.06,6.09,12,73.08
2012-01-31,2522,Hy-Vee Wine and Spirits / Spirit Lak,SPIRIT LAKE,IA,51360,30527,AMERICAN DRY GINS,Luxco-St Louis,Hawkeye Gin,12,1000,3.89,5.83,12,69.96
2012-01-31,3648,Fairbank Food Center,FAIRBANK,IA,50629,31208,AMERICAN DRY GINS,Mccormick Distilling Company,McCormick Gin Pet,6,1750,7.3,10.95,1,10.95
2012-01-31,2651,Hy-Vee / Waverly,WAVERLY,IA,50677,32236,AMERICAN DRY GINS,Pernod Ricard USA/Austin Nichols,Seagrams Extra Dry Gin,12,750,5.9,8.85,2,17.7
